+---------------------------------------------------------------------------------+----------+
| org_name                                                                        | count(*) |
| Michael Rubenstein Publishing                                                   |        1 |
| Miami University Ohio                                                           |        1 |
| McCALL                                                                          |        1 |
| Mannin Media Group                                                              |        1 |
| LTB (UK)                                                                        |        1 |
| London Review of Books                                                          |        1 |
| Logos                                                                           |        1 |
| Hollywood : ASC Holding Corp                                                    |        1 |
| Habla Con Ene                                                                   |        1 |
| Hali Publications                                                               |        1 |
| Go Publishing                                                                   |        1 |
| Greenleaf Publishing                                                            |        1 |
| Groupe Expansion                                                                |        1 |
| Grupo 16                                                                        |        1 |
| Guardian Magazines                                                              |        1 |
| Guilford Publications                                                           |        1 |
| Guineapiguana Publications                                                      |        1 |
| Guthrum House                                                                   |        1 |
| Global to Local Foundation                                                      |        1 |
| Giancarlo Politi Editore                                                        |        1 |
| G&J Espana                                                                      |        1 |
| Harvard Business School                                                         |        1 |
| Harvard Law Review Association                                                  |        1 |
| Haymarket                                                                       |        1 |
| HCB Publishing                                                                  |        1 |
| Hearst Communications                                                           |        1 |
| Henley Publishing                                                               |        1 |
| Highlights Publications                                                         |        1 |
| History Today                                                                   |        1 |
| Findlay                                                                         |        1 |
| Minerva Medica                                                                  |        1 |
| IPC                                                                             |        1 |
| RD Publications                                                                 |        1 |
| Raw Vision                                                                      |        1 |
| Radical Philosophy                                                              |        1 |
| Purple Institute                                                                |        1 |
| Prospect Publishing                                                             |        1 |
| Professional Photographers America                                              |        1 |
| Professional Lighting and Sound Association                                     |        1 |
| Prisma Presse                                                                   |        1 |
| Redactive Publishing                                                            |        1 |
| Reed Business Information                                                       |        1 |
| Rhode Island School of Design                                                   |        1 |
| It's nice that                                                                  |        1 |
| Jackdaw                                                                         |        1 |
| Jaipur-Research Development Association                                         |        1 |
| Kelsey Publishing                                                               |        1 |
| Key Publishing Group                                                            |        1 |
| Law Society                                                                     |        1 |
| RINA                                                                            |        1 |
| Richard Lawson                                                                  |        1 |
| Printing and Paper Union of Switzerland                                         |        1 |
| Powerboat and RIB magazine                                                      |        1 |
| Pisani Editore                                                                  |        1 |
| Newsquest Specialist Media                                                      |        1 |
| Brant Art Publications                                                          |        1 |
| New Statesman                                                                   |        1 |
| New School University                                                           |        1 |
| New Internationalist Publications                                               |        1 |
| National Magazine Company                                                       |        1 |
| MovieScope Publishing                                                           |        1 |
| Morrison Media Services                                                         |        1 |
| NTC Economic and Financial Publishing                                           |        1 |
| National Union of Journalists                                                   |        1 |
| Nuova Libra Editrice                                                            |        1 |
| Pinede                                                                          |        1 |
| Philip Allan                                                                    |        1 |
| Personnel Publications                                                          |        1 |
| Peak Performance Publishing                                                     |        1 |
| Passenger Publishing                                                            |        1 |
| Parkett Verlag                                                                  |        1 |
| Open University                                                                 |        1 |
| Nylon Worldwide Media LLC                                                       |        1 |
| Moneyfacts Publications                                                         |        1 |
+---------------------------------------------------------------------------------+----------+
773 rows in set (0.02 sec)

